Country;Country Code;Indicator Name;Indicator Code;Year;PPP
Aruba;ABW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1991;0.965521820375
Aruba;ABW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;1.04895437631
Aruba;ABW;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2002;1.22561363481
Albania;ALB;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2013;44.1137089967
Argentina;ARG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1994;0.73543465977
Argentina;ARG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;1.10385832879
Armenia;ARM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;172.923522949
Armenia;ARM;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2006;140.034629552
Antigua and Barbuda;ATG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2018;2.08118519848
Antigua and Barbuda;ATG;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2007;1.64683444941
Australia;AUS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2011;1.511052
Australia;AUS;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;1.3003
Austria;AUT;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2015;0.798813
Burundi;BDI;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2016;585.893188477
Belgium;BEL;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;0.935637
Benin;BEN;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2005;211.35896697
Bangladesh;BGD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2000;15.7959320331
Bangladesh;BGD;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2004;17.267343452
Bulgaria;BGR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;2019;0.67832336579
Bahrain;BHR;PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP;1998;0.0944688589289
